0 = alive (sealed or responds to touch); 1 = dead (gaped and unresponsive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4HR,"Time Check Started (all plates): 9p, 8/12",,,,,,,4HR,"Time Check Started (all plates): 9p, 8/12",,,,,,,4HR,"Time Check Started (all plates): 9p, 8/12",,,,,,,4HR,"Time Check Started (all plates): 9p, 8/12",,,,,,,4HR,"Time Check Started (all plates): 9p, 8/12",,,,,,,4HR,"Time Check Started (all plates): 9p, 8/12",,,,,,,4HR,"Time Check Started (all plates): 9p, 8/12",,,,,,,4HR,"Time Check Started (all plates): 9p, 8/12",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27HR,"Time Check Started (all plates): 8p, 8/13",,,,,,,27HR,"Time Check Started (all plates): 8p, 8/13",,,,,,,27HR,"Time Check Started (all plates): 8p, 8/13",,,,,,,27HR,"Time Check Started (all plates): 8p, 8/13",,,,,,,27HR,"Time Check Started (all plates): 8p, 8/13",,,,,,,27HR,"Time Check Started (all plates): 8p, 8/13",,,,,,,27HR,"Time Check Started (all plates): 8p, 8/13",,,,,,,27HR,"Time Check Started (all plates): 8p, 8/13",,,,,
LR-CC1-30,1,2,3,4,5,6,,LR-CC2-30,1,2,3,4,5,6,,LR-EE1-30,1,2,3,4,5,6,,LR-EE2-30,1,2,3,4,5,6,,LR-CP1-30,1,2,3,4,5,6,,LR-CP2-30,1,2,3,4,5,6,,LR-EP1-30,1,2,3,4,5,6,,LR-EP2-30,1,2,3,4,5,6
A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank
B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank
C,blank,,,,,blank,,C,blank,,,,,blank,,C,blank,,,,,blank,,C,blank,,,,,blank,,C,blank,,,,,blank,,C,blank,,,,1,blank,,C,blank,,,,,blank,,C,blank,,,,,blank
D,blank,,,,,blank,,D,blank,,,,,blank,,D,blank,,,,,blank,,D,blank,,,,1,blank,,D,blank,,,,,blank,,D,blank,,,,,blank,,D,blank,,,,,blank,,D,blank,,,,,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.5HR,"Time Check Started (all plates): 10:30p, 8/13",,,,,,,29.5HR,"Time Check Started (all plates): 10:30p, 8/13",,,,,,,29.5HR,"Time Check Started (all plates): 10:30p, 8/13",,,,,,,29.5HR,"Time Check Started (all plates): 10:30p, 8/13",,,,,,,29.5HR,"Time Check Started (all plates): 10:30p, 8/13",,,,,,,29.5HR,"Time Check Started (all plates): 10:30p, 8/13",,,,,,,29.5HR,"Time Check Started (all plates): 10:30p, 8/13",,,,,,,29.5HR,"Time Check Started (all plates): 10:30p, 8/13",,,,,
LR-CC1-30,1,2,3,4,5,6,,LR-CC2-30,1,2,3,4,5,6,,LR-EE1-30,1,2,3,4,5,6,,LR-EE2-30,1,2,3,4,5,6,,LR-CP1-30,1,2,3,4,5,6,,LR-CP2-30,1,2,3,4,5,6,,LR-EP1-30,1,2,3,4,5,6,,LR-EP2-30,1,2,3,4,5,6
A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank
B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank
C,blank,,,,,blank,,C,blank,,,,,blank,,C,blank,,,,,blank,,C,blank,,,,,blank,,C,blank,,,,,blank,,C,blank,,,,1,blank,,C,blank,,,,,blank,,C,blank,,,,,blank
D,blank,,,,,blank,,D,blank,,,,,blank,,D,blank,,,,,blank,,D,blank,,,,1,blank,,D,blank,,,,,blank,,D,blank,,,,,blank,,D,blank,,,,,blank,,D,blank,,,,,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31HR,"Time Check Started (all plates): 12a, 8/14",,,,,,,31HR,"Time Check Started (all plates): 12a, 8/14",,,,,,,31HR,"Time Check Started (all plates): 12a, 8/14",,,,,,,31HR,"Time Check Started (all plates): 12a, 8/14",,,,,,,31HR,"Time Check Started (all plates): 12a, 8/14",,,,,,,31HR,"Time Check Started (all plates): 12a, 8/14",,,,,,,31HR,"Time Check Started (all plates): 12a, 8/14",,,,,,,31HR,"Time Check Started (all plates): 12a, 8/14",,,,,
LR-CC1-30,1,2,3,4,5,6,,LR-CC2-30,1,2,3,4,5,6,,LR-EE1-30,1,2,3,4,5,6,,LR-EE2-30,1,2,3,4,5,6,,LR-CP1-30,1,2,3,4,5,6,,LR-CP2-30,1,2,3,4,5,6,,LR-EP1-30,1,2,3,4,5,6,,LR-EP2-30,1,2,3,4,5,6
A,blank,0,0,0,0,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank
B,blank,0,0,0,0,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank
C,blank,0,0,0,0,blank,,C,blank,,,,,blank,,C,blank,,,,,blank,,C,blank,,,,,blank,,C,blank,,,,,blank,,C,blank,,,,1,blank,,C,blank,,,,,blank,,C,blank,,,,,blank
D,blank,0,0,0,0,blank,,D,blank,,,,,blank,,D,blank,,,,,blank,,D,blank,,,,1,blank,,D,blank,,,,,blank,,D,blank,,,,,blank,,D,blank,,,,,blank,,D,blank,,,,,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37HR,"Time Check Started (all plates): 6a, 8/14",,,,,,,37HR,"Time Check Started (all plates): 6a, 8/14",,,,,,,37HR,"Time Check Started (all plates): 6a, 8/14",,,,,,,37HR,"Time Check Started (all plates): 6a, 8/14",,,,,,,37HR,"Time Check Started (all plates): 6a, 8/14",,,,,,,37HR,"Time Check Started (all plates): 6a, 8/14",,,,,,,37HR,"Time Check Started (all plates): 6a, 8/14",,,,,,,37HR,"Time Check Started (all plates): 6a, 8/14",,,,,
LR-CC1-30,1,2,3,4,5,6,,LR-CC2-30,1,2,3,4,5,6,,LR-EE1-30,1,2,3,4,5,6,,LR-EE2-30,1,2,3,4,5,6,,LR-CP1-30,1,2,3,4,5,6,,LR-CP2-30,1,2,3,4,5,6,,LR-EP1-30,1,2,3,4,5,6,,LR-EP2-30,1,2,3,4,5,6
A,blank,0,0,0,0,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank
B,blank,0,0,0,0,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank
C,blank,0,0,0,0,blank,,C,blank,,,,,blank,,C,blank,,,,,blank,,C,blank,,,,,blank,,C,blank,,,,,blank,,C,blank,,,,1,blank,,C,blank,,,,,blank,,C,blank,,,,,blank
D,blank,0,0,0,0,blank,,D,blank,,,,,blank,,D,blank,,,,,blank,,D,blank,,,,1,blank,,D,blank,,,,,blank,,D,blank,,,,,blank,,D,blank,,,,,blank,,D,blank,,,,,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43HR,"Time Check Started (all plates): 12p, 8/14",,,,,,,43HR,"Time Check Started (all plates): 12p, 8/14",,,,,,,43HR,"Time Check Started (all plates): 12p, 8/14",,,,,,,43HR,"Time Check Started (all plates): 12p, 8/14",,,,,,,43HR,"Time Check Started (all plates): 12p, 8/14",,,,,,,43HR,"Time Check Started (all plates): 12p, 8/14",,,,,,,43HR,"Time Check Started (all plates): 12p, 8/14",,,,,,,43HR,"Time Check Started (all plates): 12p, 8/14",,,,,
LR-CC1-30,1,2,3,4,5,6,,LR-CC2-30,1,2,3,4,5,6,,LR-EE1-30,1,2,3,4,5,6,,LR-EE2-30,1,2,3,4,5,6,,LR-CP1-30,1,2,3,4,5,6,,LR-CP2-30,1,2,3,4,5,6,,LR-EP1-30,1,2,3,4,5,6,,LR-EP2-30,1,2,3,4,5,6
A,blank,0,0,0,0,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank
B,blank,0,0,0,0,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank
C,blank,0,0,0,0,blank,,C,blank,,,,,blank,,C,blank,,,,,blank,,C,blank,,,,,blank,,C,blank,,,,,blank,,C,blank,,,,1,blank,,C,blank,,,,,blank,,C,blank,,,,,blank
D,blank,0,0,0,0,blank,,D,blank,,,,,blank,,D,blank,,,,,blank,,D,blank,,,,1,blank,,D,blank,,,,,blank,,D,blank,,,,,blank,,D,blank,,,,,blank,,D,blank,,,,,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49HR,"Time Check Started (all plates): 6p, 8/14",,,,,,,49HR,"Time Check Started (all plates): 6p, 8/14",,,,,,,49HR,"Time Check Started (all plates): 6p, 8/14",,,,,,,49HR,"Time Check Started (all plates): 6p, 8/14",,,,,,,49HR,"Time Check Started (all plates): 6p, 8/14",,,,,,,49HR,"Time Check Started (all plates): 6p, 8/14",,,,,,,49HR,"Time Check Started (all plates): 6p, 8/14",,,,,,,49HR,"Time Check Started (all plates): 6p, 8/14",,,,,
LR-CC1-30,1,2,3,4,5,6,,LR-CC2-30,1,2,3,4,5,6,,LR-EE1-30,1,2,3,4,5,6,,LR-EE2-30,1,2,3,4,5,6,,LR-CP1-30,1,2,3,4,5,6,,LR-CP2-30,1,2,3,4,5,6,,LR-EP1-30,1,2,3,4,5,6,,LR-EP2-30,1,2,3,4,5,6
A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank
B,blank,,,,1,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank
C,blank,,,,,blank,,C,blank,,,,,blank,,C,blank,,,,,blank,,C,blank,,,,,blank,,C,blank,,,,,blank,,C,blank,,,,1,blank,,C,blank,,,,,blank,,C,blank,,,,,blank
D,blank,,,,,blank,,D,blank,,,,,blank,,D,blank,,,,,blank,,D,blank,,,,1,blank,,D,blank,,,,,blank,,D,blank,,,,,blank,,D,blank,,,,,blank,,D,blank,,,,,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54HR,"Time Check Started (all plates): 11p, 8/14",,,,,,,54HR,"Time Check Started (all plates): 11p, 8/14",,,,,,,54HR,"Time Check Started (all plates): 11p, 8/14",,,,,,,54HR,"Time Check Started (all plates): 11p, 8/14",,,,,,,54HR,"Time Check Started (all plates): 11p, 8/14",,,,,,,54HR,"Time Check Started (all plates): 11p, 8/14",,,,,,,54HR,"Time Check Started (all plates): 11p, 8/14",,,,,,,54HR,"Time Check Started (all plates): 11p, 8/14",,,,,
LR-CC1-30,1,2,3,4,5,6,,LR-CC2-30,1,2,3,4,5,6,,LR-EE1-30,1,2,3,4,5,6,,LR-EE2-30,1,2,3,4,5,6,,LR-CP1-30,1,2,3,4,5,6,,LR-CP2-30,1,2,3,4,5,6,,LR-EP1-30,1,2,3,4,5,6,,LR-EP2-30,1,2,3,4,5,6
A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank
B,blank,,,,1,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank
C,blank,,,,,blank,,C,blank,,,,,blank,,C,blank,,,,,blank,,C,blank,,,,,blank,,C,blank,,,,,blank,,C,blank,,,,1,blank,,C,blank,,,,,blank,,C,blank,,,,,blank
D,blank,,,,,blank,,D,blank,,,,,blank,,D,blank,,,,,blank,,D,blank,,,,1,blank,,D,blank,,,,,blank,,D,blank,,,,,blank,,D,blank,,,,,blank,,D,blank,,,,,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61HR,"Time Check Started (all plates): 6a, 8/15",,,,,,,61HR,"Time Check Started (all plates): 6a, 8/15",,,,,,,61HR,"Time Check Started (all plates): 6a, 8/15",,,,,,,61HR,"Time Check Started (all plates): 6a, 8/15",,,,,,,61HR,"Time Check Started (all plates): 6a, 8/15",,,,,,,61HR,"Time Check Started (all plates): 6a, 8/15",,,,,,,61HR,"Time Check Started (all plates): 6a, 8/15",,,,,,,61HR,"Time Check Started (all plates): 6a, 8/15",,,,,
LR-CC1-30,1,2,3,4,5,6,,LR-CC2-30,1,2,3,4,5,6,,LR-EE1-30,1,2,3,4,5,6,,LR-EE2-30,1,2,3,4,5,6,,LR-CP1-30,1,2,3,4,5,6,,LR-CP2-30,1,2,3,4,5,6,,LR-EP1-30,1,2,3,4,5,6,,LR-EP2-30,1,2,3,4,5,6
A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank
B,blank,,,,1,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank
C,blank,,,,,blank,,C,blank,,,,,blank,,C,blank,,,,,blank,,C,blank,,,,,blank,,C,blank,,,,,blank,,C,blank,,,,1,blank,,C,blank,,,,,blank,,C,blank,,,,,blank
D,blank,,,,,blank,,D,blank,,,,,blank,,D,blank,,,,,blank,,D,blank,,,,1,blank,,D,blank,,,,,blank,,D,blank,,,,,blank,,D,blank,,,,,blank,,D,blank,,,,,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73HR,,,,,,,,73HR,,,,,,,,73HR,,,,,,,,73HR,,,,,,,,73HR,,,,,,,,73HR,,,,,,,,73HR,,,,,,,,73HR,,,,,,
LR-CC1-30,,2,3,4,5,,,LR-CC2-30,,2,3,4,5,,,LR-EE1-30,,2,3,4,5,,,LR-EE2-30,,2,3,4,5,,,LR-CP1-30,,2,3,4,5,,,LR-CP2-30,,2,3,4,5,,,LR-EP1-30,,2,3,4,5,,,LR-EP2-30,,2,3,4,5,
A,,,,,,,,A,,,,,,,,A,,,,,,,,A,,,,,,,,A,,,,,,,,A,,,,,,,,A,,,,,,,,A,,,,,,
B,,,,,1,,,B,,,,,,,,B,,,,,,,,B,,,,,,,,B,,,,,,,,B,,,,,,,,B,,,,,,,,B,,,,,,
C,,,,,,,,C,,,,,,,,C,,,,,,,,C,,,,,,,,C,,,,,,,,C,,,,,1,,,C,,,,,,,,C,,,,,,
D,,,,,,,,D,,,,,,,,D,,,,,,,,D,,,,,1,,,D,,,,,,,,D,,,,,1,,,D,,,,,,,,D,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97HR,,,,,,,,97HR,,,,,,,,97HR,,,,,,,,97HR,,,,,,,,97HR,,,,,,,,97HR,,,,,,,,97HR,,,,,,,,97HR,,,,,,
LR-CC1-30,,2,3,4,5,,,LR-CC2-30,,2,3,4,5,,,LR-EE1-30,,2,3,4,5,,,LR-EE2-30,,2,3,4,5,,,LR-CP1-30,,2,3,4,5,,,LR-CP2-30,,2,3,4,5,,,LR-EP1-30,,2,3,4,5,,,LR-EP2-30,,2,3,4,5,
A,,1,,,1,,,A,,,,,,,,A,,,,,,,,A,,,1,,1,,,A,,,,,,,,A,,,,,1,,,A,,,,,,,,A,,,,,,
B,,,,,1,,,B,,,,,,,,B,,,,,,,,B,,,,,,,,B,,,,,,,,B,,,,,,,,B,,,,,,,,B,,,,,,
C,,,1,,,,,C,,,1,,,,,C,,,,,,,,C,,,,,,,,C,,,1,,,,,C,,,,1,1,,,C,,,,,,,,C,,,,,,
D,,,,,,,,D,,,,,,,,D,,,,,,,,D,,,,,1,,,D,,,,,,,,D,,,,,1,,,D,,,,,,,,D,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120HR,,,,,,,,120HR,,,,,,,,120HR,,,,,,,,120HR,,,,,,,,120HR,,,,,,,,120HR,,,,,,,,120HR,,,,,,,,120HR,,,,,,
LR-CC1-30,,2,3,4,5,,,LR-CC2-30,,2,3,4,5,,,LR-EE1-30,,2,3,4,5,,,LR-EE2-30,,2,3,4,5,,,LR-CP1-30,,2,3,4,5,,,LR-CP2-30,,2,3,4,5,,,LR-EP1-30,,2,3,4,5,,,LR-EP2-30,,2,3,4,5,
A,,1,,,1,,,A,,,,,,,,A,,1,,,1,,,A,,1,1,,1,,,A,,,1,,,,,A,,1,,,1,,,A,,,1,1,,,,A,,,,,,
B,,,,,1,,,B,,1,,1,,,,B,,,1,,,,,B,,,1,,,,,B,,1,,,,,,B,,,1,,,,,B,,1,1,1,1,,,B,,,,,,
C,,1,1,1,1,,,C,,,1,1,1,,,C,,1,1,1,,,,C,,,,,,,,C,,1,1,,1,,,C,,1,,1,1,,,C,,,,,1,,,C,,,,,,
D,,,,1,1,,,D,,,1,,1,,,D,,,,,1,,,D,,1,,,1,,,D,,,1,1,,,,D,,,,1,1,,,D,,,,,,,,D,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142HR,,,,,,,,142HR,,,,,,,,142HR,,,,,,,,142HR,,,,,,,,142HR,,,,,,,,142HR,,,,,,,,142HR,,,,,,,,142HR,,,,,,
LR-CC1-30,,2,3,4,5,,,LR-CC2-30,,2,3,4,5,,,LR-EE1-30,,2,3,4,5,,,LR-EE2-30,,2,3,4,5,,,LR-CP1-30,,2,3,4,5,,,LR-CP2-30,,2,3,4,5,,,LR-EP1-30,,2,3,4,5,,,LR-EP2-30,,2,3,4,5,
A,,1,0,1,1,,,A,,0,0,1,0,,,A,,1,1,1,1,,,A,,1,1,0,1,,,A,,0,1,0,0,,,A,,1,0,0,1,,,A,,0,1,1,1,,,A,,1,1,1,1,
B,,0,1,0,1,,,B,,1,0,1,0,,,B,,0,1,0,1,,,B,,0,1,1,1,,,B,,1,0,1,0,,,B,,0,1,0,,,,B,,1,1,1,1,,,B,,1,1,1,1,
C,,1,1,1,1,,,C,,1,1,1,1,,,C,,1,1,1,1,,,C,,1,1,1,0,,,C,,1,1,0,1,,,C,,1,,1,1,,,C,,0,1,0,1,,,C,,1,1,0,1,
D,,0,1,1,1,,,D,,0,1,,1,,,D,,1,1,0,1,,,D,,1,0,0,1,,,D,,1,1,1,0,,,D,,1,0,1,1,,,D,,0,0,0,0,,,D,,0,1,0,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166HR,,,,,,,,166HR,,,,,,,,166HR,,,,,,,,166HR,,,,,,,,166HR,,,,,,,,166HR,,,,,,,,166HR,,,,,,,,166HR,,,,,,
LR-CC1-30,,2,3,4,5,,,LR-CC2-30,,2,3,4,5,,,LR-EE1-30,,2,3,4,5,,,LR-EE2-30,,2,3,4,5,,,LR-CP1-30,,2,3,4,5,,,LR-CP2-30,,2,3,4,5,,,LR-EP1-30,,2,3,4,5,,,LR-EP2-30,,2,3,4,5,
A,,1,1,1,1,,,A,,1,1,1,0,,,A,,1,1,1,1,,,A,,1,1,1,1,,,A,,1,1,0,1,,,A,,1,1,0,1,,,A,,0,1,1,1,,,A,,1,1,1,1,
B,,1,1,0,1,,,B,,1,1,1,0,,,B,,1,1,0,1,,,B,,1,1,1,1,,,B,,1,1,1,1,,,B,,0,1,1,1,,,B,,1,1,1,1,,,B,,1,1,1,1,
C,,1,1,1,1,,,C,,1,1,1,1,,,C,,1,1,1,1,,,C,,1,1,1,0,,,C,,1,1,0,1,,,C,,1,1,1,1,,,C,,1,1,0,1,,,C,,1,1,0,1,
D,,1,1,1,1,,,D,,1,1,1,1,,,D,,1,1,0,1,,,D,,1,1,1,1,,,D,,1,1,1,0,,,D,,1,1,1,1,,,D,,0,0,0,1,,,D,,1,1,0,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190HR,,,,,,,,190HR,,,,,,,,190HR,,,,,,,,190HR,,,,,,,,190HR,,,,,,,,190HR,,,,,,,,190HR,,,,,,,,190HR,,,,,,
LR-CC1-30,,2,3,4,5,,,LR-CC2-30,,2,3,4,5,,,LR-EE1-30,,2,3,4,5,,,LR-EE2-30,,2,3,4,5,,,LR-CP1-30,,2,3,4,5,,,LR-CP2-30,,2,3,4,5,,,LR-EP1-30,,2,3,4,5,,,LR-EP2-30,,2,3,4,5,
A,,1,1,1,1,,,A,,1,1,1,1,,,A,,1,1,1,1,,,A,,1,1,1,1,,,A,,1,1,1,1,,,A,,1,1,1,1,,,A,,1,1,1,1,,,A,,1,1,1,1,
B,,1,1,1,1,,,B,,1,1,1,1,,,B,,1,1,1,1,,,B,,1,1,1,1,,,B,,1,1,1,1,,,B,,1,1,1,1,,,B,,1,1,1,1,,,B,,1,1,1,1,
C,,1,1,1,1,,,C,,1,1,1,1,,,C,,1,1,1,1,,,C,,1,1,1,1,,,C,,1,1,1,1,,,C,,1,1,1,1,,,C,,1,1,1,1,,,C,,1,1,1,1,
D,,1,1,1,1,,,D,,1,1,1,1,,,D,,1,1,1,1,,,D,,1,1,1,1,,,D,,1,1,1,1,,,D,,1,1,1,1,,,D,,1,1,1,1,,,D,,1,1,1,1,
